sqft_living,bedrooms,price
2090.0,4.0,600000.0
930.0,2.0,230000.0
1110.0,2.0,600000.0
2030.0,4.0,515000.0
2690.0,3.0,1650000.0
980.0,2.0,352500.0
2070.0,5.0,613000.0
1200.0,3.0,279500.0
3140.0,4.0,780000.0
1980.0,3.0,233000.0
2280.0,4.0,500000.0
1660.0,3.0,269950.0
1990.0,3.0,438000.0
3690.0,5.0,1130000.0
2140.0,3.0,636000.0
2530.0,3.0,380000.0
1790.0,3.0,437500.0
900.0,2.0,550000.0
1260.0,3.0,216000.0
2650.0,4.0,665000.0
1310.0,3.0,390000.0
3500.0,4.0,998000.0
1620.0,3.0,549500.0
1400.0,3.0,269950.0
1360.0,4.0,197000.0
5450.0,5.0,3420000.0
2190.0,3.0,1570000.0
3370.0,3.0,713900.0
2150.0,4.0,355000.0
2450.0,4.0,455000.0
2410.0,4.0,735000.0
1410.0,3.0,510000.0
2190.0,5.0,250000.0
750.0,2.0,238000.0
3410.0,4.0,1410000.0
2700.0,4.0,652500.0
1440.0,3.0,420000.0
1640.0,3.0,471000.0
810.0,2.0,170000.0
1850.0,4.0,470000.0
1480.0,3.0,560000.0
2700.0,3.0,775900.0
1450.0,2.0,557000.0
1940.0,3.0,299950.0
1310.0,3.0,300000.0
2230.0,5.0,620000.0
2400.0,4.0,590000.0
2810.0,4.0,492000.0
770.0,2.0,413500.0
1210.0,4.0,452000.0
1560.0,3.0,275000.0
1160.0,2.0,389000.0
2080.0,3.0,300000.0
1660.0,3.0,331292.0
3350.0,3.0,1300000.0
2520.0,4.0,657500.0
4050.0,4.0,1200000.0
2800.0,4.0,569500.0
1950.0,3.0,313200.0
2700.0,5.0,625000.0
3420.0,4.0,757500.0
1240.0,3.0,150000.0
2660.0,6.0,603500.0
1820.0,4.0,430000.0
1790.0,2.0,570000.0
2700.0,4.0,749000.0
4650.0,5.0,985000.0
3880.0,6.0,635000.0
1710.0,3.0,340000.0
2350.0,4.0,555000.0
1140.0,2.0,365500.0
3060.0,5.0,708000.0
1760.0,3.0,287500.0
1040.0,3.0,198400.0
2890.0,5.0,706000.0
1570.0,3.0,360000.0
2840.0,3.0,663000.0
1250.0,3.0,463000.0
1860.0,3.0,397500.0
770.0,3.0,307000.0
1980.0,3.0,380000.0
3135.0,4.0,374500.0
4060.0,4.0,1800000.0
1070.0,3.0,415000.0
2950.0,4.0,825750.0
1490.0,3.0,525000.0
970.0,2.0,515000.0
3030.0,5.0,794500.0
3490.0,5.0,759000.0
1720.0,3.0,404000.0
2780.0,4.0,705000.0
2070.0,3.0,310000.0
2470.0,3.0,811000.0
1240.0,3.0,523000.0
3400.0,5.0,870000.0
2150.0,3.0,428040.0
1530.0,3.0,375000.0
1310.0,3.0,417000.0
3220.0,4.0,2380000.0
2240.0,4.0,980000.0
1190.0,3.0,350000.0
1100.0,4.0,353000.0
1930.0,3.0,825000.0
1120.0,2.0,216180.0
2830.0,4.0,627250.0
3050.0,5.0,1030000.0
2670.0,3.0,825000.0
860.0,2.0,405000.0
2080.0,4.0,330000.0
1320.0,4.0,420000.0
2206.0,3.0,780000.0
1690.0,3.0,500000.0
980.0,3.0,425000.0
2080.0,3.0,424240.0
962.0,2.0,390000.0
2050.0,3.0,655275.0
2350.0,3.0,740000.0
2120.0,3.0,575000.0
3290.0,4.0,728000.0
1470.0,4.0,445000.0
1480.0,3.0,290000.0
2720.0,4.0,594950.0
1690.0,3.0,305000.0
1220.0,2.0,580000.0
2490.0,3.0,535000.0
1280.0,3.0,443000.0
5570.0,5.0,1860000.0
2440.0,3.0,515000.0
1560.0,3.0,900000.0
1340.0,2.0,407000.0
1260.0,3.0,570000.0
2330.0,4.0,344950.0
1580.0,4.0,535000.0
3180.0,4.0,660000.0
3940.0,5.0,1970000.0
740.0,2.0,202000.0
960.0,2.0,319000.0
2830.0,3.0,673000.0
2290.0,3.0,822000.0
1180.0,3.0,215000.0
720.0,2.0,184500.0
2230.0,4.0,809950.0
1440.0,4.0,1040000.0
1510.0,2.0,335000.0
1510.0,4.0,435000.0
2500.0,4.0,639000.0
2890.0,4.0,795000.0
1260.0,3.0,300000.0
2950.0,4.0,839704.0
1970.0,3.0,445000.0
2010.0,2.0,400000.0
2930.0,6.0,1230000.0
1380.0,3.0,482000.0
5480.0,3.0,2510000.0
1220.0,3.0,405000.0
2640.0,3.0,790000.0
1830.0,4.0,321000.0
1110.0,2.0,406000.0
1430.0,3.0,530000.0
920.0,2.0,265000.0
3240.0,3.0,604000.0
1453.0,3.0,460000.0
1790.0,3.0,485000.0
3230.0,4.0,772500.0
3180.0,4.0,725000.0
1880.0,3.0,380000.0
1570.0,3.0,370000.0
1295.0,2.0,487028.0
2010.0,3.0,559000.0
1060.0,3.0,174950.0
2100.0,4.0,352500.0
5635.0,4.0,950000.0
1740.0,4.0,316475.0
2160.0,4.0,653000.0
2640.0,4.0,650000.0
1450.0,4.0,282510.0
1490.0,3.0,550000.0
2560.0,4.0,390000.0
1960.0,3.0,599000.0
1890.0,3.0,344500.0
2050.0,4.0,370228.0
1140.0,3.0,550000.0
1300.0,2.0,550000.0
1580.0,3.0,195000.0
2440.0,4.0,745641.0
1700.0,5.0,548000.0
1210.0,3.0,324950.0
1770.0,3.0,514000.0
940.0,3.0,180000.0
1600.0,2.0,690000.0
1340.0,3.0,230000.0
1650.0,4.0,490000.0
1020.0,2.0,168500.0
1350.0,3.0,397500.0
1370.0,4.0,190848.0
1570.0,4.0,356500.0
1300.0,3.0,236000.0
1980.0,3.0,660000.0
3080.0,4.0,1280000.0
2110.0,3.0,369000.0
2660.0,3.0,595000.0
2452.0,4.0,430000.0
1730.0,3.0,635000.0
2030.0,3.0,395000.0
4720.0,4.0,1530000.0
1490.0,4.0,570000.0
5790.0,5.0,1750000.0
1330.0,4.0,235867.0
3390.0,5.0,735000.0
1520.0,4.0,533250.0
1400.0,3.0,267000.0
4160.0,4.0,1050000.0
1720.0,3.0,326000.0
2020.0,4.0,868000.0
3080.0,3.0,569999.0
2400.0,4.0,585000.0
1700.0,3.0,419000.0
1608.0,3.0,280000.0
1350.0,3.0,299999.0
1260.0,3.0,120000.0
2960.0,5.0,389500.0
2420.0,3.0,441500.0
1870.0,4.0,325000.0
2740.0,4.0,476000.0
1170.0,3.0,185000.0
990.0,2.0,430000.0
2130.0,4.0,530000.0
800.0,2.0,330000.0
1340.0,3.0,199950.0
2000.0,5.0,474500.0
1410.0,3.0,255000.0
1520.0,2.0,210000.0
1720.0,3.0,565000.0
2760.0,4.0,1340000.0
700.0,2.0,175000.0
1450.0,4.0,375000.0
1870.0,3.0,458000.0
1410.0,3.0,215000.0
2520.0,4.0,525000.0
1540.0,4.0,395000.0
1690.0,3.0,440000.0
1810.0,3.0,760000.0
1810.0,4.0,400000.0
1200.0,3.0,210000.0
1870.0,3.0,832500.0
4280.0,5.0,1140000.0
2830.0,4.0,527000.0
1490.0,2.0,700000.0
1540.0,3.0,345000.0
2540.0,4.0,759990.0
2070.0,3.0,542950.0
1970.0,4.0,347500.0
2770.0,4.0,572000.0
2790.0,4.0,654950.0
2760.0,3.0,834538.0
3150.0,4.0,640000.0
2170.0,3.0,449950.0
2720.0,4.0,850000.0
2340.0,5.0,572000.0
1420.0,3.0,293000.0
890.0,2.0,314963.0
1420.0,4.0,349950.0
2844.0,5.0,359950.0
2610.0,4.0,762500.0
2390.0,3.0,405300.0
2320.0,4.0,380000.0
1590.0,5.0,185000.0
860.0,2.0,340000.0
1300.0,3.0,226500.0
3700.0,4.0,1290000.0
2120.0,3.0,345000.0
2920.0,3.0,1020000.0
3480.0,4.0,1190000.0
1240.0,3.0,270000.0
2690.0,4.0,635000.0
2760.0,3.0,500000.0
1410.0,3.0,343000.0
1520.0,3.0,241000.0
3030.0,3.0,274975.0
1180.0,2.0,419000.0
1470.0,3.0,269000.0
2450.0,5.0,559950.0
3240.0,4.0,1200000.0
1010.0,3.0,225000.0
2830.0,7.0,450000.0
2320.0,5.0,350000.0
2630.0,4.0,454200.0
1810.0,3.0,431000.0
1590.0,2.0,509500.0
3090.0,5.0,384900.0
3120.0,4.0,790000.0
1880.0,3.0,261950.0
1630.0,3.0,550000.0
2070.0,3.0,781000.0
2795.0,5.0,562000.0
3284.0,4.0,460458.0
1340.0,3.0,206135.0
880.0,2.0,280000.0
1010.0,3.0,300000.0
2320.0,3.0,447500.0
1830.0,4.0,639000.0
3220.0,5.0,384000.0
3240.0,4.0,1220000.0
2240.0,4.0,242000.0
3620.0,4.0,495000.0
1010.0,3.0,250000.0
4750.0,5.0,770000.0
2920.0,4.0,730000.0
1190.0,2.0,470000.0
1496.0,3.0,370000.0
1560.0,3.0,515000.0
4270.0,4.0,1610000.0
1880.0,3.0,410000.0
1810.0,3.0,449000.0
3120.0,3.0,855000.0
1870.0,3.0,770000.0
700.0,2.0,267800.0
1310.0,3.0,230000.0
2475.0,4.0,335900.0
6510.0,5.0,1900000.0
2340.0,3.0,375000.0
1800.0,3.0,583000.0
2930.0,4.0,782500.0
3100.0,5.0,460000.0
2140.0,3.0,680000.0
1950.0,3.0,550000.0
1860.0,4.0,570000.0
1230.0,3.0,399950.0
1920.0,2.0,495000.0
1960.0,2.0,680200.0
3460.0,5.0,858450.0
870.0,2.0,475000.0
3570.0,3.0,935000.0
1230.0,1.0,349950.0
1780.0,3.0,285000.0
690.0,2.0,340000.0
1420.0,3.0,355000.0
1150.0,3.0,185000.0
1370.0,4.0,545000.0
1760.0,3.0,264000.0
3870.0,4.0,600000.0
4380.0,3.0,995000.0
1930.0,3.0,439990.0
1320.0,3.0,300000.0
2810.0,3.0,1700000.0
1540.0,2.0,269000.0
